Date,Open,High,Low,Close,P/E,P/B,Div Yield %
20-07-2022,16562.8,16588,16490.95,16520.85,20.33,3.98,1.36
21-07-2022,16523.55,16626.95,16483.9,16605.25,20.43,4,1.41
22-07-2022,16661.25,16752.25,16610.9,16719.45,20.55,4.03,1.4
25-07-2022,16662.55,16706.05,16564.25,16631,20.44,4.01,1.38
26-07-2022,16632.9,16636.1,16463.3,16483.85,20.17,3.96,1.39
27-07-2022,16475.35,16653.45,16438.75,16641.8,20.19,4,1.38
28-07-2022,16774.85,16947.65,16746.25,16929.6,20.49,4.07,1.33
29-07-2022,17079.5,17172.8,17018.15,17158.25,20.73,4.12,1.29
01-08-2022,17243.2,17356.25,17154.8,17340.05,20.9,4.17,1.29
02-08-2022,17310.15,17390.15,17215.85,17345.45,20.86,4.17,1.29
03-08-2022,17349.25,17407.5,17225.85,17388.15,20.85,4.18,1.3
04-08-2022,17463.1,17490.7,17161.25,17382,20.85,4.18,1.3
05-08-2022,17423.65,17474.4,17348.75,17397.5,20.86,4.18,1.29
08-08-2022,17401.5,17548.8,17359.75,17525.1,21.02,4.21,1.33
10-08-2022,17566.1,17566.1,17442.8,17534.75,21.11,4.21,1.34
11-08-2022,17711.65,17719.3,17631.95,17659,21.29,4.18,1.36
12-08-2022,17659.65,17724.65,17597.85,17698.15,21.18,4.15,1.35
16-08-2022,17797.2,17839.1,17764.05,17825.25,21.34,4.18,1.34
17-08-2022,17868.15,17965.95,17833.35,17944.25,21.42,4.2,1.33
18-08-2022,17898.65,17968.45,17852.05,17956.5,21.44,4.2,1.38
19-08-2022,17966.55,17992.2,17710.75,17758.45,21.2,4.15,1.41
22-08-2022,17682.9,17690.05,17467.35,17490.7,20.88,4.09,1.44
23-08-2022,17357.35,17625.55,17345.2,17577.5,20.98,4.11,1.43
24-08-2022,17525.45,17623.65,17499.25,17604.95,21.02,4.11,1.42
25-08-2022,17679,17726.5,17487.45,17522.45,20.92,4.09,1.43
26-08-2022,17619.3,17685.85,17519.35,17558.9,20.96,4.1,1.43
29-08-2022,17188.65,17380.15,17166.2,17312.9,20.67,4.05,1.45
30-08-2022,17414.95,17777.65,17401.5,17759.3,21.2,4.12,1.41
01-09-2022,17485.7,17695.6,17468.45,17542.8,20.94,4.07,1.43
02-09-2022,17598.4,17643.85,17476.45,17539.45,20.94,4.07,1.42
05-09-2022,17546.45,17683.15,17540.35,17665.8,21.09,4.1,1.41
06-09-2022,17695.7,17764.65,17587.65,17655.6,21.08,4.1,1.41
07-09-2022,17519.4,17650.75,17484.3,17624.4,21.04,4.09,1.41
08-09-2022,17748.15,17807.65,17691.95,17798.75,21.25,4.13,1.36
09-09-2022,17923.35,17925.95,17786,17833.35,21.29,4.14,1.35
12-09-2022,17890.85,17980.55,17889.15,17936.35,21.41,4.16,1.35
13-09-2022,18044.45,18088.3,18015.45,18070.05,21.57,4.19,1.34
14-09-2022,17771.15,18091.55,17771.15,18003.75,21.49,4.18,1.34
15-09-2022,18046.35,18096.15,17861.5,17877.4,21.34,4.15,1.35
16-09-2022,17796.8,17820.05,17497.25,17530.85,20.93,4.07,1.31
19-09-2022,17540.65,17667.2,17429.7,17622.25,21.04,4.09,1.3
20-09-2022,17770.4,17919.3,17744.4,17816.25,21.27,4.13,1.28
21-09-2022,17766.35,17838.7,17663.6,17718.35,21.15,4.11,1.29
22-09-2022,17609.65,17722.75,17532.45,17629.8,21.05,4.09,1.3
23-09-2022,17593.85,17642.15,17291.65,17327.35,20.69,4.02,1.32
26-09-2022,17156.3,17196.4,16978.3,17016.3,20.31,3.95,1.35
27-09-2022,17110.9,17176.45,16942.35,17007.4,20.3,3.95,1.35
28-09-2022,16870.55,17037.6,16820.4,16858.6,20.13,3.91,1.36
29-09-2022,16993.6,17026.05,16788.6,16818.1,20.08,3.9,1.36
30-09-2022,16798.05,17187.1,16747.7,17094.35,20.64,4.02,1.32
03-10-2022,17102.1,17114.65,16855.55,16887.35,20.39,3.97,1.34
04-10-2022,17147.45,17287.3,17117.3,17274.3,20.86,4.06,1.31
06-10-2022,17379.25,17428.8,17315.65,17331.8,20.93,4.07,1.31
07-10-2022,17287.2,17337.35,17216.95,17314.65,20.9,4.07,1.31
10-10-2022,17094.35,17280.15,17064.7,17241,20.82,4.05,1.31
11-10-2022,17256.05,17261.8,16950.3,16983.55,20.51,3.99,1.33
12-10-2022,17025.55,17142.35,16960.05,17123.6,20.67,4.02,1.32
13-10-2022,17087.35,17112.35,16956.95,17014.35,20.53,4,1.33
14-10-2022,17322.3,17348.55,17169.75,17185.7,20.74,4.04,1.31
17-10-2022,17144.8,17328.55,17098.55,17311.8,20.86,4.07,1.31
18-10-2022,17438.75,17527.8,17434.05,17486.95,20.99,4.11,1.3
19-10-2022,17568.15,17607.6,17472.85,17512.25,21.02,4.12,1.31
20-10-2022,17423.1,17584.15,17421,17563.95,21.06,4.13,1.3
